,Mensajes_texto
0,Ea
1,NOIS
2,Yo diría que vivían muchos
3,Dioooos en color rosa es brutal
4,Es que usan colores que no son los normales y eso mola
5,Ala hay cosas bonitas
6,No se a que te refieres con lo de guardae plazas
7,Yo lo eche tmb en la uned y eso si que es la muerte
8,Imposible entrar
9,"En universidad ""normal"" depende de la especialidad, la nota de corte varía"
10,El mio por ejemplo esta muy cotizao
11,Y el de musica
12,Tu que hacías?
13,Yo es para el de informatica
14,No se como estará eso
15,Pues terminaré haciendolo en la misma universidad
16,Yo estoy haciendo el de biologia
17,Puedes mirarlo en el distrito unico andaluz
18,Como se ha quedao el corte
19,A genial
20,Pues gracias nene. Me ha venido de perlas
21,"Nada tio, lo que necesites"
22,Eso si enterate de si en jaen hacen evaluacion uncia final
23,Yo el año pasaod tuve que desmatriculafme de malaga pq no hay
24,En Granada si
25,Ah! Creo que podré ir presencialmente
26,Ya que termino de trabajar a las 2 de la tarde y las clases son por la tarde
27,"No creo que haya ningún problema, aunque termine sin pelo"
28,Ah bueno entonces todo perfecti
29,Jajajaja el pelo lo vas a perder pero de darte cabezazos con la gilipollez de master que es
30,Ya me lo veo venir...
31,Todo sea para poder opositar y hacer algo que me guste de verdad
32,Ea
33,Un año de tragar
34,Compensa
35,"Hi! Nice to meet u, Why there no a option to cap fps, like vsyn? Ty!"
36,Hey there! We are currently still developing the game and working on performance improvements and quality of life mechanics. Please feel free to join our Discord where you can provide your feedback!
